code,abbreviation,element,time_period,element_name,description,element_scale,units,symbol
84,SUNSHN,sunshine,daily,Sunshine; Daily,Sunshine; Daily total,0.1,Hours,wi-day-sunny
132,SUN,sunshine,hourly,totalSunshine,Total of sunshine measured during the defined period,1.0,Minutes,wi-day-sunny
888,AWSHRSSUN,sunshine,aws,AWS; Sun Hours,AWS; Sunshine Hours,0.1,Hours,wi-day-sunny
1,TMPOBS,temp,daily,Temp; daily obs,Temperature; daily observation,0.1,Degrees C,wi-thermometer
2,TMPMAX,temp,daily,Temp;  max,Temperature;  maximum,0.1,Degrees C,wi-thermometer
3,TMPMIN,temp,daily,Temp;  min,Temperature;  minimum,0.1,Degrees C,wi-thermometer
4,TMPMN,temp,daily,Temp;  mean,Temperature;  mean,0.1,Degrees C,wi-thermometer
12,DPTMAX,temp,daily,Temp; dew pt max,Temperature; dew point; daily maximum,0.1,Degrees C,wi-thermometer
13,DPTMIN,temp,daily,Temp; dew pt min,Temperature; dew point; daily minimum,0.1,Degrees C,wi-thermometer
14,DPTMN,temp,daily,Temp; dew pt mn,Temperature; dew point; daily mean,0.1,Degrees C,wi-thermometer
20,MXTPAN,temp,hourly,Temp; evap pn mx,Temperature; evaporation pan; daily maximum,0.1,Degrees C,wi-thermometer
21,MNTPAN,temp,daily,Temp; evap pn mn,Temperature; evaporation pan; daily minimum,0.1,Degrees C,wi-thermometer
22,MTPAN,temp,daily,Temp; evap pn mn,Temperature; evaporation pan; daily mean,0.1,Degrees C,wi-thermometer
85,GRSMIN,temp,daily,Grasss Min,Temp,,-10,wi-thermometer
94,MXMNDIFF,temp,daily,Max Min Diff,24 Hr Temperature range,0.1,Degrees C,wi-thermometer
101,TEMPDB,temp,hourly,airTemperature,Temperature indicated by a thermometer exposed to the air in a place sheltered from direct solar radiation.,0.1,Degrees C,wi-thermometer
102,TEMPWB,temp,hourly,wetBulbTemperature,Temperature indicated by a thermometer covered by cloth wetted with water exposed to the air in a place sheltered from direct solar radiation.,0.1,Degrees C,wi-thermometer
103,TEMPDP,temp,hourly,dewPointTemperature,The temperature to which a given air parcel must be cooled at constant pressure and constant water vapor content in order for saturation to occur.,0.1,Degrees C,wi-thermometer
303,TEMPDB,temp,monthly,Temp at press level,Temperature at pressure level,0.1,,wi-thermometer
304,DPTDEP,temp,monthly,Dew Pt Depress at press level,Dew point depression at pressure level,0.1,,wi-thermometer
881,AWSTEMP,temp,aws,AWS; Air Temp,AWS; Air Temperature,0.1,Deg Celcius,wi-thermometer
882,AWSTMAX,temp,aws,AWS; Max Temp,AWS; Maximum Temperature,0.1,Deg Celcius,wi-thermometer
883,AWSTMIN,temp,aws,AWS; Min Temp,AWS; Minimum Temperature,0.1,Deg Celcius,wi-thermometer
885,AWSDP,temp,aws,AWS; Dp Temp,AWS; Dew Point Temperature,0.1,Celcius,wi-thermometer
981,AWSTEMP2M,temp,aws,AWS; Air Temp 2M,AWS; Air Temp 2M,0.1,deg Centigrade,wi-thermometer
110,VISBY,visibility,hourly,Visibility,Visibility; horizontal,1.0,Coded,wi-dust
197,MAXVIS,visibility,hourly,Visibility,Max,,,wi-dust
198,MINVIS,visibility,hourly,Visibility,min,,,wi-dust
851,PstWx,weatherpast,hourly,Past Weather W2,Past Weather W2 (WMO Synoptic Code),1.0,Unitless,wi-na
167,PRSWX,weatherpresent,hourly,Present Weather,Present Weather (WMO Synoptic Code),1.0,Coded,wi-na
98,WINDTOT20,wind,daily,Wind Totalizer; 18Z,Wind Totalizer at 18Z,0.1,Km,wi-strong-wind
99,WINDRUN08,wind,daily,Wind Totalizer; 06Z,Wind Totalizer at 06Z,0.1,Km,wi-strong-wind
59,PKGSTD,winddir,daily,Wind gust; dir,Wind gust; direction of the daily maximum,1.0,Tens of Degrees,wi-towards-ese
61,WNDMXD,winddir,daily,Wnd Dir;max 1min,Wind; 1 minute; direction of the daily maximum,1.0,Tens of Degrees,wi-towards-ese
112,WNDDIR,winddir,hourly,windDirection,Direction from which wind is blowing.,1.0,Degrees from North,wi-towards-ese
305,WNDDIR,winddir,monthly,Wind Direction at press level,Wind direction at pressure level,1.0,Degrees C,wi-towards-ese
887,AWsGUSTDIR,winddir,aws,AWS; GUST Direction,AWS; Wind Gust Direction,0.1,Degrees,wi-towards-ese
895,AWSWDA,winddir,aws,AWS; Wind Dir Avg,AWS; Wind Direction Average,1.0,Degrees,wi-towards-ese
56,WNDSPD,windspeed,daily,Wind Spd;avg dly,Wind speed; daily average,1.0,Meters/Second,wi-strong-wind
58,PKGUST,windspeed,daily,Wind Gust max sp,Wind gust; speed; daily maximum,1.0,Meters/Second,wi-strong-wind
60,WNDMX1,windspeed,daily,Wnd spd Max 1Min,Wind; 1 minute; speed; daily maximum,1.0,Meters/Second,wi-strong-wind
111,WNDSPD,windspeed,hourly,windSpeed,Ratio of the distance covered by the air to the time taken to cover it. The instantaneous speed corresponds to the case of an infinitely small time interval. The mean speed corresponds to the case of,,0,wi-strong-wind
306,WNDSPD,windspeed,monthly,Wind Speed at pressure leve,Wind speed at pressure level,1.0,Knots,wi-strong-wind
886,AWSGUSTSPD,windspeed,aws,AWS; GUST Speed,AWS; Wind Gust Speed,0.1,Knots,wi-strong-wind
896,AWSWDI,windspeed,aws,AWS; Wind Dir Inst,AWS; Wind Direction Instantaneous,1.0,Degrees,wi-strong-wind
897,AWSWSA,windspeed,aws,AWS; Wind Spd Avg,AWS; Wind Speed Average,0.1,Knots,wi-strong-wind
898,AWSWSI,windspeed,aws,AWS; Wind Spd Inst,AWS; Wind Speed Instantaneous,0.1,Knots,wi-strong-wind
57,WNDMIL,,daily,runOfWind,Run of Wind,,0,wi-strong-wind
